state_or_territory,year,month,day,locally_acquired_cases,presumptive_viremic_blood_donors,symptomatic_disease_cases,travel_associated_cases
Utah,2016,Aug,17,0.0,0.0,0.0,6.0
Vermont,2016,Aug,17,0.0,0.0,0.0,6.0
Virginia,2016,Aug,17,0.0,0.0,0.0,62.0
Washington,2016,Aug,17,0.0,0.0,0.0,19.0
West Virginia,2016,Aug,17,0.0,0.0,0.0,10.0
Wisconsin,2016,Aug,17,0.0,0.0,0.0,20.0
American Samoa,2016,Aug,17,44.0,0.0,0.0,0.0
Puerto Rico,2016,Aug,17,7855.0,0.0,0.0,34.0
US Virgin Islands,2016,Aug,17,101.0,0.0,0.0,1.0
Alabama,2016,Aug,24,0.0,0.0,0.0,15.0
Arizona,2016,Aug,24,0.0,0.0,0.0,20.0
Arkansas,2016,Aug,24,0.0,0.0,0.0,9.0
California,2016,Aug,24,0.0,0.0,0.0,152.0
Colorado,2016,Aug,24,0.0,0.0,0.0,24.0
Connecticut,2016,Aug,24,0.0,0.0,0.0,50.0
Delaware,2016,Aug,24,0.0,0.0,0.0,11.0
District of Columbia,2016,Aug,24,0.0,0.0,0.0,11.0
Florida,2016,Aug,24,29.0,0.0,0.0,471.0
Georgia,2016,Aug,24,0.0,0.0,0.0,54.0
Hawaii,2016,Aug,24,0.0,0.0,0.0,11.0
Idaho,2016,Aug,24,0.0,0.0,0.0,1.0
Illinois,2016,Aug,24,0.0,0.0,0.0,49.0
Indiana,2016,Aug,24,0.0,0.0,0.0,28.0
Iowa,2016,Aug,24,0.0,0.0,0.0,13.0
Kansas,2016,Aug,24,0.0,0.0,0.0,11.0
Kentucky,2016,Aug,24,0.0,0.0,0.0,19.0
Louisiana,2016,Aug,24,0.0,0.0,0.0,25.0
Maine,2016,Aug,24,0.0,0.0,0.0,10.0
Maryland,2016,Aug,24,0.0,0.0,0.0,77.0
Massachusetts,2016,Aug,24,0.0,0.0,0.0,63.0
Michigan,2016,Aug,24,0.0,0.0,0.0,31.0
Minnesota,2016,Aug,24,0.0,0.0,0.0,31.0
Mississippi,2016,Aug,24,0.0,0.0,0.0,17.0
Missouri,2016,Aug,24,0.0,0.0,0.0,20.0
Montana,2016,Aug,24,0.0,0.0,0.0,4.0
Nebraska,2016,Aug,24,0.0,0.0,0.0,7.0
Nevada,2016,Aug,24,0.0,0.0,0.0,13.0
New Hampshire,2016,Aug,24,0.0,0.0,0.0,8.0
New Jersey,2016,Aug,24,0.0,0.0,0.0,91.0
New Mexico,2016,Aug,24,0.0,0.0,0.0,3.0
New York,2016,Aug,24,0.0,0.0,0.0,601.0
North Carolina,2016,Aug,24,0.0,0.0,0.0,35.0
North Dakota,2016,Aug,24,0.0,0.0,0.0,1.0
Ohio,2016,Aug,24,0.0,0.0,0.0,33.0
Oklahoma,2016,Aug,24,0.0,0.0,0.0,20.0
Oregon,2016,Aug,24,0.0,0.0,0.0,19.0
Pennsylvania††,2016,Aug,24,0.0,0.0,0.0,77.0
Rhode Island,2016,Aug,24,0.0,0.0,0.0,28.0
South Carolina,2016,Aug,24,0.0,0.0,0.0,31.0
South Dakota,2016,Aug,24,0.0,0.0,0.0,1.0
Tennessee,2016,Aug,24,0.0,0.0,0.0,35.0
Texas,2016,Aug,24,0.0,0.0,0.0,125.0
Utah,2016,Aug,24,0.0,0.0,0.0,7.0
Vermont,2016,Aug,24,0.0,0.0,0.0,7.0
Virginia,2016,Aug,24,0.0,0.0,0.0,66.0
Washington,2016,Aug,24,0.0,0.0,0.0,21.0
West Virginia,2016,Aug,24,0.0,0.0,0.0,11.0
Wisconsin,2016,Aug,24,0.0,0.0,0.0,21.0
American Samoa,2016,Aug,24,46.0,0.0,0.0,0.0
Puerto Rico,2016,Aug,24,8746.0,0.0,0.0,42.0
US Virgin Islands,2016,Aug,24,176.0,0.0,0.0,1.0
Alabama,2016,Aug,31,0.0,0.0,0.0,24.0
Arizona,2016,Aug,31,0.0,0.0,0.0,20.0
Arkansas,2016,Aug,31,0.0,0.0,0.0,9.0
California,2016,Aug,31,0.0,0.0,0.0,152.0
Colorado,2016,Aug,31,0.0,0.0,0.0,27.0
Connecticut,2016,Aug,31,0.0,0.0,0.0,52.0
Delaware,2016,Aug,31,0.0,0.0,0.0,11.0
District of Columbia,2016,Aug,31,0.0,0.0,0.0,11.0
Florida,2016,Aug,31,35.0,0.0,0.0,507.0
Georgia,2016,Aug,31,0.0,0.0,0.0,69.0
Hawaii,2016,Aug,31,0.0,0.0,0.0,11.0
Idaho,2016,Aug,31,0.0,0.0,0.0,2.0
Illinois,2016,Aug,31,0.0,0.0,0.0,51.0
Indiana,2016,Aug,31,0.0,0.0,0.0,31.0
Iowa,2016,Aug,31,0.0,0.0,0.0,14.0
Kansas,2016,Aug,31,0.0,0.0,0.0,13.0
Kentucky,2016,Aug,31,0.0,0.0,0.0,20.0
Louisiana,2016,Aug,31,0.0,0.0,0.0,26.0
Maine,2016,Aug,31,0.0,0.0,0.0,11.0
Maryland,2016,Aug,31,0.0,0.0,0.0,85.0
Massachusetts,2016,Aug,31,0.0,0.0,0.0,65.0
Michigan,2016,Aug,31,0.0,0.0,0.0,43.0
Minnesota,2016,Aug,31,0.0,0.0,0.0,40.0
Mississippi,2016,Aug,31,0.0,0.0,0.0,18.0
Missouri,2016,Aug,31,0.0,0.0,0.0,23.0
Montana,2016,Aug,31,0.0,0.0,0.0,7.0
Nebraska,2016,Aug,31,0.0,0.0,0.0,8.0
Nevada,2016,Aug,31,0.0,0.0,0.0,13.0
New Hampshire,2016,Aug,31,0.0,0.0,0.0,8.0
New Jersey,2016,Aug,31,0.0,0.0,0.0,91.0
New Mexico,2016,Aug,31,0.0,0.0,0.0,3.0
New York,2016,Aug,31,0.0,0.0,0.0,625.0
North Carolina,2016,Aug,31,0.0,0.0,0.0,48.0
North Dakota,2016,Aug,31,0.0,0.0,0.0,1.0
Ohio,2016,Aug,31,0.0,0.0,0.0,33.0
Oklahoma,2016,Aug,31,0.0,0.0,0.0,20.0
Oregon,2016,Aug,31,0.0,0.0,0.0,19.0
Pennsylvania††,2016,Aug,31,0.0,0.0,0.0,90.0
Rhode Island,2016,Aug,31,0.0,0.0,0.0,28.0
South Carolina,2016,Aug,31,0.0,0.0,0.0,31.0
South Dakota,2016,Aug,31,0.0,0.0,0.0,1.0
Tennessee,2016,Aug,31,0.0,0.0,0.0,37.0
Texas,2016,Aug,31,0.0,0.0,0.0,136.0
Utah,2016,Aug,31,0.0,0.0,0.0,10.0
Vermont,2016,Aug,31,0.0,0.0,0.0,7.0
Virginia,2016,Aug,31,0.0,0.0,0.0,75.0
Washington,2016,Aug,31,0.0,0.0,0.0,26.0
West Virginia,2016,Aug,31,0.0,0.0,0.0,11.0
Wisconsin,2016,Aug,31,0.0,0.0,0.0,24.0
American Samoa,2016,Aug,31,47.0,0.0,0.0,0.0
Puerto Rico,2016,Aug,31,13791.0,0.0,0.0,50.0
US Virgin Islands,2016,Aug,31,221.0,0.0,0.0,1.0
Alabama,2016,Sep,7,0.0,0.0,0.0,24.0
Arizona,2016,Sep,7,0.0,0.0,0.0,22.0
Arkansas,2016,Sep,7,0.0,0.0,0.0,9.0
California,2016,Sep,7,0.0,0.0,0.0,210.0
Colorado,2016,Sep,7,0.0,0.0,0.0,27.0
Connecticut,2016,Sep,7,0.0,0.0,0.0,58.0
Delaware,2016,Sep,7,0.0,0.0,0.0,11.0
District of Columbia,2016,Sep,7,0.0,0.0,0.0,11.0
Florida,2016,Sep,7,43.0,0.0,0.0,571.0
Georgia,2016,Sep,7,0.0,0.0,0.0,75.0
Hawaii,2016,Sep,7,0.0,0.0,0.0,11.0
Idaho,2016,Sep,7,0.0,0.0,0.0,2.0
Illinois,2016,Sep,7,0.0,0.0,0.0,51.0
Indiana,2016,Sep,7,0.0,0.0,0.0,32.0
Iowa,2016,Sep,7,0.0,0.0,0.0,15.0
Kansas,2016,Sep,7,0.0,0.0,0.0,13.0
Kentucky,2016,Sep,7,0.0,0.0,0.0,20.0
Louisiana,2016,Sep,7,0.0,0.0,0.0,26.0
Maine,2016,Sep,7,0.0,0.0,0.0,11.0
Maryland,2016,Sep,7,0.0,0.0,0.0,89.0
Massachusetts,2016,Sep,7,0.0,0.0,0.0,67.0
Michigan,2016,Sep,7,0.0,0.0,0.0,45.0
Minnesota,2016,Sep,7,0.0,0.0,0.0,39.0
Mississippi,2016,Sep,7,0.0,0.0,0.0,20.0
Missouri,2016,Sep,7,0.0,0.0,0.0,26.0
Montana,2016,Sep,7,0.0,0.0,0.0,7.0
Nebraska,2016,Sep,7,0.0,0.0,0.0,8.0
Nevada,2016,Sep,7,0.0,0.0,0.0,14.0
New Hampshire,2016,Sep,7,0.0,0.0,0.0,8.0
New Jersey,2016,Sep,7,0.0,0.0,0.0,91.0
New Mexico,2016,Sep,7,0.0,0.0,0.0,4.0
New York,2016,Sep,7,0.0,0.0,0.0,661.0
North Carolina,2016,Sep,7,0.0,0.0,0.0,52.0
North Dakota,2016,Sep,7,0.0,0.0,0.0,1.0
Ohio,2016,Sep,7,0.0,0.0,0.0,36.0
Oklahoma,2016,Sep,7,0.0,0.0,0.0,20.0
Oregon,2016,Sep,7,0.0,0.0,0.0,19.0
Pennsylvania††,2016,Sep,7,0.0,0.0,0.0,95.0
Rhode Island,2016,Sep,7,0.0,0.0,0.0,29.0
South Carolina,2016,Sep,7,0.0,0.0,0.0,31.0
South Dakota,2016,Sep,7,0.0,0.0,0.0,1.0
Tennessee,2016,Sep,7,0.0,0.0,0.0,38.0
Texas,2016,Sep,7,0.0,0.0,0.0,161.0
Utah,2016,Sep,7,0.0,0.0,0.0,12.0
Vermont,2016,Sep,7,0.0,0.0,0.0,7.0
Virginia,2016,Sep,7,0.0,0.0,0.0,78.0
Washington,2016,Sep,7,0.0,0.0,0.0,28.0
West Virginia,2016,Sep,7,0.0,0.0,0.0,11.0
Wisconsin,2016,Sep,7,0.0,0.0,0.0,24.0
American Samoa,2016,Sep,7,47.0,0.0,0.0,0.0
Puerto Rico,2016,Sep,7,15541.0,0.0,0.0,59.0
US Virgin Islands,2016,Sep,7,221.0,0.0,0.0,1.0
Alabama,2016,Sep,14,0.0,0.0,0.0,24.0
Arizona,2016,Sep,14,0.0,0.0,0.0,29.0
Arkansas,2016,Sep,14,0.0,0.0,0.0,10.0
California,2016,Sep,14,0.0,0.0,0.0,224.0
Colorado,2016,Sep,14,0.0,0.0,0.0,32.0
Connecticut,2016,Sep,14,0.0,0.0,0.0,58.0
Delaware,2016,Sep,14,0.0,0.0,0.0,11.0
District of Columbia,2016,Sep,14,0.0,0.0,0.0,17.0
Florida,2016,Sep,14,43.0,0.0,0.0,596.0
Georgia,2016,Sep,14,0.0,0.0,0.0,78.0
Hawaii,2016,Sep,14,0.0,0.0,0.0,12.0
Idaho,2016,Sep,14,0.0,0.0,0.0,3.0
Illinois,2016,Sep,14,0.0,0.0,0.0,58.0
Indiana,2016,Sep,14,0.0,0.0,0.0,32.0
Iowa,2016,Sep,14,0.0,0.0,0.0,16.0
Kansas,2016,Sep,14,0.0,0.0,0.0,13.0
Kentucky,2016,Sep,14,0.0,0.0,0.0,23.0
Louisiana,2016,Sep,14,0.0,0.0,0.0,29.0
Maine,2016,Sep,14,0.0,0.0,0.0,11.0
Maryland,2016,Sep,14,0.0,0.0,0.0,95.0
Massachusetts,2016,Sep,14,0.0,0.0,0.0,67.0
Michigan,2016,Sep,14,0.0,0.0,0.0,52.0
Minnesota,2016,Sep,14,0.0,0.0,0.0,47.0
Mississippi,2016,Sep,14,0.0,0.0,0.0,21.0
Missouri,2016,Sep,14,0.0,0.0,0.0,26.0
Montana,2016,Sep,14,0.0,0.0,0.0,7.0
Nebraska,2016,Sep,14,0.0,0.0,0.0,8.0
Nevada,2016,Sep,14,0.0,0.0,0.0,14.0
New Hampshire,2016,Sep,14,0.0,0.0,0.0,8.0
New Jersey,2016,Sep,14,0.0,0.0,0.0,116.0
New Mexico,2016,Sep,14,0.0,0.0,0.0,6.0
New York,2016,Sep,14,0.0,0.0,0.0,685.0
North Carolina,2016,Sep,14,0.0,0.0,0.0,61.0
North Dakota,2016,Sep,14,0.0,0.0,0.0,1.0
Ohio,2016,Sep,14,0.0,0.0,0.0,36.0
Oklahoma,2016,Sep,14,0.0,0.0,0.0,26.0
Oregon,2016,Sep,14,0.0,0.0,0.0,23.0
Pennsylvania††,2016,Sep,14,0.0,0.0,0.0,102.0
Rhode Island,2016,Sep,14,0.0,0.0,0.0,29.0
South Carolina,2016,Sep,14,0.0,0.0,0.0,31.0
South Dakota,2016,Sep,14,0.0,0.0,0.0,1.0
Tennessee,2016,Sep,14,0.0,0.0,0.0,39.0
Texas,2016,Sep,14,0.0,0.0,0.0,181.0
Utah,2016,Sep,14,0.0,0.0,0.0,11.0
Vermont,2016,Sep,14,0.0,0.0,0.0,7.0
Virginia,2016,Sep,14,0.0,0.0,0.0,81.0
Washington,2016,Sep,14,0.0,0.0,0.0,34.0
West Virginia,2016,Sep,14,0.0,0.0,0.0,11.0
Wisconsin,2016,Sep,14,0.0,0.0,0.0,29.0
Wyoming,2016,Sep,14,0.0,0.0,0.0,2.0
American Samoa,2016,Sep,14,47.0,0.0,0.0,0.0
Puerto Rico,2016,Sep,14,17315.0,0.0,0.0,64.0
US Virgin Islands,2016,Sep,14,265.0,0.0,0.0,1.0
Alabama,2016,Sep,21,0.0,0.0,0.0,27.0
Arizona,2016,Sep,21,0.0,0.0,0.0,29.0
Arkansas,2016,Sep,21,0.0,0.0,0.0,10.0
California,2016,Sep,21,0.0,0.0,0.0,243.0
Colorado,2016,Sep,21,0.0,0.0,0.0,35.0
Connecticut,2016,Sep,21,0.0,0.0,0.0,58.0
Delaware,2016,Sep,21,0.0,0.0,0.0,13.0
District of Columbia,2016,Sep,21,0.0,0.0,0.0,23.0
Florida,2016,Sep,21,43.0,0.0,0.0,652.0
Georgia,2016,Sep,21,0.0,0.0,0.0,79.0
Hawaii,2016,Sep,21,0.0,0.0,0.0,12.0
Idaho,2016,Sep,21,0.0,0.0,0.0,3.0
Illinois,2016,Sep,21,0.0,0.0,0.0,67.0
Indiana,2016,Sep,21,0.0,0.0,0.0,33.0
Iowa,2016,Sep,21,0.0,0.0,0.0,16.0
Kansas,2016,Sep,21,0.0,0.0,0.0,14.0
Kentucky,2016,Sep,21,0.0,0.0,0.0,24.0
Louisiana,2016,Sep,21,0.0,0.0,0.0,29.0
Maine,2016,Sep,21,0.0,0.0,0.0,11.0
Maryland,2016,Sep,21,0.0,0.0,0.0,99.0
Massachusetts,2016,Sep,21,0.0,0.0,0.0,67.0
Michigan,2016,Sep,21,0.0,0.0,0.0,56.0
Minnesota,2016,Sep,21,0.0,0.0,0.0,47.0
Mississippi,2016,Sep,21,0.0,0.0,0.0,21.0
Missouri,2016,Sep,21,0.0,0.0,0.0,27.0
Montana,2016,Sep,21,0.0,0.0,0.0,7.0
Nebraska,2016,Sep,21,0.0,0.0,0.0,8.0
Nevada,2016,Sep,21,0.0,0.0,0.0,14.0
New Hampshire,2016,Sep,21,0.0,0.0,0.0,8.0
New Jersey,2016,Sep,21,0.0,0.0,0.0,117.0
New Mexico,2016,Sep,21,0.0,0.0,0.0,6.0
New York,2016,Sep,21,0.0,0.0,0.0,715.0
North Carolina,2016,Sep,21,0.0,0.0,0.0,61.0
North Dakota,2016,Sep,21,0.0,0.0,0.0,1.0
Ohio,2016,Sep,21,0.0,0.0,0.0,41.0
Oklahoma,2016,Sep,21,0.0,0.0,0.0,26.0
Oregon,2016,Sep,21,0.0,0.0,0.0,27.0
Pennsylvania††,2016,Sep,21,0.0,0.0,0.0,106.0
Rhode Island,2016,Sep,21,0.0,0.0,0.0,29.0
South Carolina,2016,Sep,21,0.0,0.0,0.0,31.0
South Dakota,2016,Sep,21,0.0,0.0,0.0,1.0
Tennessee,2016,Sep,21,0.0,0.0,0.0,49.0
Texas,2016,Sep,21,0.0,0.0,0.0,195.0
Utah,2016,Sep,21,0.0,0.0,0.0,12.0
Vermont,2016,Sep,21,0.0,0.0,0.0,7.0
Virginia,2016,Sep,21,0.0,0.0,0.0,81.0
Washington,2016,Sep,21,0.0,0.0,0.0,34.0
West Virginia,2016,Sep,21,0.0,0.0,0.0,11.0
Wisconsin,2016,Sep,21,0.0,0.0,0.0,31.0
Wyoming,2016,Sep,21,0.0,0.0,0.0,2.0
American Samoa,2016,Sep,21,46.0,0.0,0.0,0.0
Puerto Rico,2016,Sep,21,19395.0,0.0,0.0,70.0
US Virgin Islands,2016,Sep,21,265.0,0.0,0.0,1.0
Alabama,2016,Sep,28,0.0,0.0,0.0,27.0
Arizona,2016,Sep,28,0.0,0.0,0.0,31.0
Arkansas,2016,Sep,28,0.0,0.0,0.0,10.0
California,2016,Sep,28,0.0,0.0,0.0,267.0
Colorado,2016,Sep,28,0.0,0.0,0.0,36.0
Connecticut,2016,Sep,28,0.0,0.0,0.0,58.0
Delaware,2016,Sep,28,0.0,0.0,0.0,13.0
District of Columbia,2016,Sep,28,0.0,0.0,0.0,23.0
Florida,2016,Sep,28,59.0,0.0,0.0,672.0
Georgia,2016,Sep,28,0.0,0.0,0.0,81.0
Hawaii,2016,Sep,28,0.0,0.0,0.0,12.0
Idaho,2016,Sep,28,0.0,0.0,0.0,3.0
Illinois,2016,Sep,28,0.0,0.0,0.0,70.0
Indiana,2016,Sep,28,0.0,0.0,0.0,34.0
Iowa,2016,Sep,28,0.0,0.0,0.0,16.0
Kansas,2016,Sep,28,0.0,0.0,0.0,15.0
Kentucky,2016,Sep,28,0.0,0.0,0.0,24.0
Louisiana,2016,Sep,28,0.0,0.0,0.0,31.0
Maine,2016,Sep,28,0.0,0.0,0.0,11.0
Maryland,2016,Sep,28,0.0,0.0,0.0,101.0
Massachusetts,2016,Sep,28,0.0,0.0,0.0,76.0
Michigan,2016,Sep,28,0.0,0.0,0.0,57.0
Minnesota,2016,Sep,28,0.0,0.0,0.0,47.0
Mississippi,2016,Sep,28,0.0,0.0,0.0,23.0
Missouri,2016,Sep,28,0.0,0.0,0.0,27.0
Montana,2016,Sep,28,0.0,0.0,0.0,7.0
Nebraska,2016,Sep,28,0.0,0.0,0.0,11.0
Nevada,2016,Sep,28,0.0,0.0,0.0,14.0
New Hampshire,2016,Sep,28,0.0,0.0,0.0,9.0
New Jersey,2016,Sep,28,0.0,0.0,0.0,133.0
New Mexico,2016,Sep,28,0.0,0.0,0.0,6.0
New York,2016,Sep,28,0.0,0.0,0.0,811.0
North Carolina,2016,Sep,28,0.0,0.0,0.0,66.0
North Dakota,2016,Sep,28,0.0,0.0,0.0,1.0
Ohio,2016,Sep,28,0.0,0.0,0.0,52.0
Oklahoma,2016,Sep,28,0.0,0.0,0.0,26.0
Oregon,2016,Sep,28,0.0,0.0,0.0,27.0
Pennsylvania††,2016,Sep,28,0.0,0.0,0.0,129.0
Rhode Island,2016,Sep,28,0.0,0.0,0.0,32.0
South Carolina,2016,Sep,28,0.0,0.0,0.0,31.0
South Dakota,2016,Sep,28,0.0,0.0,0.0,1.0
Tennessee,2016,Sep,28,0.0,0.0,0.0,51.0
Texas,2016,Sep,28,0.0,0.0,0.0,204.0
Utah,2016,Sep,28,0.0,0.0,0.0,13.0
Vermont,2016,Sep,28,0.0,0.0,0.0,7.0
Virginia,2016,Sep,28,0.0,0.0,0.0,85.0
Washington,2016,Sep,28,0.0,0.0,0.0,34.0
West Virginia,2016,Sep,28,0.0,0.0,0.0,11.0
Wisconsin,2016,Sep,28,0.0,0.0,0.0,38.0
Wyoming,2016,Sep,28,0.0,0.0,0.0,2.0
American Samoa,2016,Sep,28,47.0,0.0,0.0,6.0
Puerto Rico,2016,Sep,28,21535.0,0.0,0.0,74.0
US Virgin Islands,2016,Sep,28,406.0,0.0,0.0,1.0
Alabama,2016,Oct,5,0.0,0.0,0.0,27.0
Arizona,2016,Oct,5,0.0,0.0,0.0,36.0
Arkansas,2016,Oct,5,0.0,0.0,0.0,10.0
California,2016,Oct,5,0.0,0.0,0.0,277.0
Colorado,2016,Oct,5,0.0,0.0,0.0,36.0
Connecticut,2016,Oct,5,0.0,0.0,0.0,58.0
Delaware,2016,Oct,5,0.0,0.0,0.0,15.0
District of Columbia,2016,Oct,5,0.0,0.0,0.0,25.0
Florida,2016,Oct,5,105.0,0.0,0.0,707.0
Georgia,2016,Oct,5,0.0,0.0,0.0,86.0
Hawaii,2016,Oct,5,0.0,0.0,0.0,14.0
Idaho,2016,Oct,5,0.0,0.0,0.0,3.0
Illinois,2016,Oct,5,0.0,0.0,0.0,75.0
Indiana,2016,Oct,5,0.0,0.0,0.0,38.0
Iowa,2016,Oct,5,0.0,0.0,0.0,16.0
Kansas,2016,Oct,5,0.0,0.0,0.0,15.0
Kentucky,2016,Oct,5,0.0,0.0,0.0,24.0
Louisiana,2016,Oct,5,0.0,0.0,0.0,32.0
Maine,2016,Oct,5,0.0,0.0,0.0,11.0
Maryland,2016,Oct,5,0.0,0.0,0.0,102.0
Massachusetts,2016,Oct,5,0.0,0.0,0.0,93.0
Michigan,2016,Oct,5,0.0,0.0,0.0,60.0
Minnesota,2016,Oct,5,0.0,0.0,0.0,47.0
Mississippi,2016,Oct,5,0.0,0.0,0.0,23.0
Missouri,2016,Oct,5,0.0,0.0,0.0,27.0
Montana,2016,Oct,5,0.0,0.0,0.0,7.0
Nebraska,2016,Oct,5,0.0,0.0,0.0,11.0
Nevada,2016,Oct,5,0.0,0.0,0.0,14.0
New Hampshire,2016,Oct,5,0.0,0.0,0.0,10.0
New Jersey,2016,Oct,5,0.0,0.0,0.0,133.0
New Mexico,2016,Oct,5,0.0,0.0,0.0,7.0
New York,2016,Oct,5,0.0,0.0,0.0,837.0
North Carolina,2016,Oct,5,0.0,0.0,0.0,66.0
North Dakota,2016,Oct,5,0.0,0.0,0.0,2.0
Ohio,2016,Oct,5,0.0,0.0,0.0,53.0
Oklahoma,2016,Oct,5,0.0,0.0,0.0,27.0
Oregon,2016,Oct,5,0.0,0.0,0.0,27.0
Pennsylvania††,2016,Oct,5,0.0,0.0,0.0,132.0
Rhode Island,2016,Oct,5,0.0,0.0,0.0,32.0
South Carolina,2016,Oct,5,0.0,0.0,0.0,31.0
South Dakota,2016,Oct,5,0.0,0.0,0.0,2.0
Tennessee,2016,Oct,5,0.0,0.0,0.0,52.0
Texas,2016,Oct,5,0.0,0.0,0.0,218.0
Utah,2016,Oct,5,0.0,0.0,0.0,15.0
Vermont,2016,Oct,5,0.0,0.0,0.0,7.0
Virginia,2016,Oct,5,0.0,0.0,0.0,86.0
Washington,2016,Oct,5,0.0,0.0,0.0,34.0
West Virginia,2016,Oct,5,0.0,0.0,0.0,11.0
Wisconsin,2016,Oct,5,0.0,0.0,0.0,40.0
Wyoming,2016,Oct,5,0.0,0.0,0.0,2.0
American Samoa,2016,Oct,5,47.0,0.0,0.0,7.0
Puerto Rico,2016,Oct,5,23665.0,0.0,0.0,75.0
US Virgin Islands,2016,Oct,5,406.0,0.0,0.0,1.0
Alabama,2016,Oct,12,0.0,0.0,0.0,28.0
Arizona,2016,Oct,12,0.0,0.0,0.0,36.0
Arkansas,2016,Oct,12,0.0,0.0,0.0,11.0
California,2016,Oct,12,0.0,0.0,0.0,296.0
Colorado,2016,Oct,12,0.0,0.0,0.0,41.0
Connecticut,2016,Oct,12,0.0,0.0,0.0,58.0
Delaware,2016,Oct,12,0.0,0.0,0.0,15.0
District of Columbia,2016,Oct,12,0.0,0.0,0.0,25.0
Florida,2016,Oct,12,128.0,0.0,0.0,708.0
Georgia,2016,Oct,12,0.0,0.0,0.0,88.0
Hawaii,2016,Oct,12,0.0,0.0,0.0,14.0
Idaho,2016,Oct,12,0.0,0.0,0.0,3.0
Illinois,2016,Oct,12,0.0,0.0,0.0,75.0
Indiana,2016,Oct,12,0.0,0.0,0.0,39.0
Iowa,2016,Oct,12,0.0,0.0,0.0,16.0
Kansas,2016,Oct,12,0.0,0.0,0.0,15.0
Kentucky,2016,Oct,12,0.0,0.0,0.0,24.0
Louisiana,2016,Oct,12,0.0,0.0,0.0,32.0
Maine,2016,Oct,12,0.0,0.0,0.0,11.0
Maryland,2016,Oct,12,0.0,0.0,0.0,103.0
Massachusetts,2016,Oct,12,0.0,0.0,0.0,99.0
Michigan,2016,Oct,12,0.0,0.0,0.0,60.0
Minnesota,2016,Oct,12,0.0,0.0,0.0,47.0
Mississippi,2016,Oct,12,0.0,0.0,0.0,23.0
Missouri,2016,Oct,12,0.0,0.0,0.0,27.0
Montana,2016,Oct,12,0.0,0.0,0.0,7.0
Nebraska,2016,Oct,12,0.0,0.0,0.0,11.0
Nevada,2016,Oct,12,0.0,0.0,0.0,14.0
New Hampshire,2016,Oct,12,0.0,0.0,0.0,10.0
New Jersey,2016,Oct,12,0.0,0.0,0.0,134.0
New Mexico,2016,Oct,12,0.0,0.0,0.0,7.0
New York,2016,Oct,12,0.0,0.0,0.0,858.0
North Carolina,2016,Oct,12,0.0,0.0,0.0,66.0
North Dakota,2016,Oct,12,0.0,0.0,0.0,2.0
Ohio,2016,Oct,12,0.0,0.0,0.0,53.0
Oklahoma,2016,Oct,12,0.0,0.0,0.0,27.0
Oregon,2016,Oct,12,0.0,0.0,0.0,29.0
Pennsylvania††,2016,Oct,12,0.0,0.0,0.0,135.0
Rhode Island,2016,Oct,12,0.0,0.0,0.0,32.0
South Carolina,2016,Oct,12,0.0,0.0,0.0,48.0
South Dakota,2016,Oct,12,0.0,0.0,0.0,2.0
Tennessee,2016,Oct,12,0.0,0.0,0.0,53.0
Texas,2016,Oct,12,0.0,0.0,0.0,228.0
Utah,2016,Oct,12,0.0,0.0,0.0,15.0
Vermont,2016,Oct,12,0.0,0.0,0.0,7.0
Virginia,2016,Oct,12,0.0,0.0,0.0,86.0
Washington,2016,Oct,12,0.0,0.0,0.0,34.0
West Virginia,2016,Oct,12,0.0,0.0,0.0,11.0
Wisconsin,2016,Oct,12,0.0,0.0,0.0,43.0
Wyoming,2016,Oct,12,0.0,0.0,0.0,2.0
American Samoa,2016,Oct,12,47.0,0.0,0.0,7.0
Puerto Rico,2016,Oct,12,25355.0,0.0,0.0,75.0
US Virgin Islands,2016,Oct,12,469.0,0.0,0.0,2.0
Alabama,2016,Oct,19,0.0,0.0,0.0,28.0
Arizona,2016,Oct,19,0.0,0.0,0.0,36.0
Arkansas,2016,Oct,19,0.0,0.0,0.0,11.0
California,2016,Oct,19,0.0,0.0,0.0,296.0
Colorado,2016,Oct,19,0.0,0.0,0.0,43.0
Connecticut,2016,Oct,19,0.0,0.0,0.0,58.0
Delaware,2016,Oct,19,0.0,0.0,0.0,15.0
District of Columbia,2016,Oct,19,0.0,0.0,0.0,25.0
Florida,2016,Oct,19,137.0,0.0,0.0,708.0
Georgia,2016,Oct,19,0.0,0.0,0.0,90.0
Hawaii,2016,Oct,19,0.0,0.0,0.0,14.0
Idaho,2016,Oct,19,0.0,0.0,0.0,4.0
Illinois,2016,Oct,19,0.0,0.0,0.0,76.0
Indiana,2016,Oct,19,0.0,0.0,0.0,39.0
Iowa,2016,Oct,19,0.0,0.0,0.0,16.0
Kansas,2016,Oct,19,0.0,0.0,0.0,15.0
Kentucky,2016,Oct,19,0.0,0.0,0.0,24.0
Louisiana,2016,Oct,19,0.0,0.0,0.0,34.0
Maine,2016,Oct,19,0.0,0.0,0.0,12.0
Maryland,2016,Oct,19,0.0,0.0,0.0,104.0
Massachusetts,2016,Oct,19,0.0,0.0,0.0,100.0
Michigan,2016,Oct,19,0.0,0.0,0.0,62.0
Minnesota,2016,Oct,19,0.0,0.0,0.0,47.0
Mississippi,2016,Oct,19,0.0,0.0,0.0,23.0
Missouri,2016,Oct,19,0.0,0.0,0.0,27.0
Montana,2016,Oct,19,0.0,0.0,0.0,7.0
